tag_code,box_code
RF8VERNF2DAPNQ,QA3AW2
29HRH9BGFAX6C6,3UO8BA
3APN9VVWCPS3U7,GXMAP8
RB56THZPJ4CUQB,Y355E4
MTTFKV92ECFSFB,S1MZ22
UEQBMQTE4AX2P5,RKXM4G
N3N4ADEP4X5KY5,2KGUGH
D7AP8SXVJB72PH,45LN2J
M3YBVUPVGU9CQM,OPXV2I
UCTXZQN8F5N7UM,BWVG92
NDW7NH8MS6WWD4,52NPRP
GMEA3D2ED46BRR,HXA75H
YYY4TFJ3YUZQK3,YZ5P5E
9FASGZKH768349,RQ7VCA
GNFNJDWJWVPDX7,TYSKIB
S3BTAGRYUZ6U5F,0382Q4
HH46DPJMZREKF6,1L6ZXL
PHE8CGUCR6UFZ9,YBJCUO
YYV8GP7RUCMRVX,J040DL
SBAG2PVKV8UNXB,AZZA2S
T27FQSHHR6MEC8,IRFFBH
X4JN7NEZN8GRWM,03R8VG
UES9XGRM5HJE4Z,NGEF5Y
4ZPAGXUEPUVWCT,CNJZLT
DXK7G2UGB5H224,8U8B90
DXMFTVTSX33EWZ,NX1Q9W
YUFHU6T2FFSMP4,ETOF0Q
3M6Q9C7TMB8VGT,2FW6J1
HUX4SGHFHTZYM9,HRSNQ4
NQGJRJ7AHP3F56,X014GM
P923AYX66933E2,42N3MD
68JQV3ME5ADGH8,HKE1MK
2JKRC4WPPRT7P7,P8KXSZ
CSA3AVB4V98QG6,TJBZBR
K443M9XQ7758KY,05LKGT
RVNEUDQPVAQNZ8,PAB3KF
J8B7W53UZCJQ23,CA9VRN
JCC9XFHFQ68KJB,04JRAE
3W6NWTXER8FAFG,G7GF7H
U92SXD28P639PW,SRWYMC
8BAXAKFGGGK7XC,H5U382
DW2TGMVHYZ3N88,CZNVBS
5PWKAU33X33K5S,7XZ939
4WZXJRDET6FJBP,GXYT17
9KXHGVQEPAYWHF,DWWAW0
5FR9GAGJ4XH6T8,J2Y9GT
PRPGEZ9GSRQ3S7,25EYO6
ESP4JPJMVTFYNH,NWZO86
UMBAFD76XCY86G,2843X8
5EZWBW2G9HKYCM,EGJA6K
ZX5XVEZ8FWPVR6,82LJHY
E9FMTQMDG8UF4N,MGCUSI
XSMMSREASVM29C,ODA2CT
XZFKDCM3EU5Q43,F99S3Z
TYGR3G4NHHXTZZ,0J4MJQ
PFWWDH4JWHFFUU,7HK9SV
2SHDTSAGDATW56,IAOW2D
BC2HWXBFZR6KS7,3X31P9
9ESGWSB5TM9H8K,AMX5PQ
8UJD2FPZM5J753,EWXMLC
5VW6KTYZWEKQVS,8MIX7O
8FYCQ8APMG5JNS,1U8F7J
MM53NAUVJ7BP2S,L7WV5Y
WP5VXS2ZKRKCDS,J9ZRF0
GP6UTNT7TVRTTK,BY1GNK
AJ32KQTGWHWFM3,56Y6KX
WW4XUH7QA9GXYM,D5A8XB
SF9C2FEEMSVXSH,9VMXNA
JJVFF3A3FVYVR5,9WAJ4A
YXG7C55W2VX3QN,KLK747
EV6DEHEPBDD5GF,TEA7Y1
P9HQAYHBV7KPPD,PVNWV3
MXJ7VHCAZ8MWM3,WY8YG2
KM2U4UPUEGMY8E,XCF2OI
2QSCSBNN596BQA,M79LBS
UQ5UPKPACV8SHY,O24LJ8
U5TPG895YAFR8F,JTHO5K
QCVFVVP4S9RYVH,P686LN
MB89XWKCEW4QU6,EUG44O
T9F7HMWZMX88HJ,86JRTQ
44RGYA2QCGYRC3,8JARJZ
Z3NJWVTGDTZ5PM,31MP6W
SKG9SQAWKU2J92,3DY55W
FQ2892AY7UUCRW,AZ5OXN
BPTNFT5DXNMEKN,EKR2RM
GE823PQSBNUCPN,9YSXJA
R8GVHWMFMZ9JB4,UGSRU0
RUGW2Y8RJMCNHN,CI09CZ
HVFPPVG3M6922U,K07ETY
2ZUCYBV9GWAE76,F11DDK
E3H3UFDVBGVJGX,VI1UZS
A88SZYA2D22AXJ,K5BGWY
7G8ZBCBF2DH7GH,3L3GRW
5DG5AWTFZJGK9F,Q2U94F
Y5SJCNXDGESXPH,V70JFW
SQQHKYDZT2QG6S,AZ1S1P
54XBW59EG4YKTK,9BRJ9G
XSZ24CEX2D7NPC,MPISJQ
NAN5YC4HE2ZSSD,WO436U
7EW7N527QJANBZ,2VMVZN